Tamano  Tiempo(ns)  media_OB  max_OB  min_OB
  1000   408.00    8.00       10     1
  1010   412.67    8.00       10     1
  1020   407.16    9.00       10     1
  1030   407.77    9.00       11     1
  1040   409.04    9.00       11     1
  1050   408.29    9.00       11     1
  1060   412.26    9.00       11     1
  1070   407.01    9.00       11     1
  1080   403.15    9.00       11     1
  1090   411.74    9.00       11     1
  1100   406.45    9.00       11     1
  1110   406.22    9.00       11     1
  1120   411.70    9.00       11     1
  1130   407.88    9.00       11     1
  1140   405.70    9.00       11     1
  1150   410.78    9.00       11     1
  1160   408.28    9.00       11     1
  1170   409.40    9.00       11     1
  1180   408.14    9.00       11     1
  1190   404.96    9.00       11     1
  1200   411.42    9.00       11     1
  1210   407.11    9.00       11     1
  1220   413.77    9.00       11     1
  1230   409.76    9.00       11     1
  1240   410.16    9.00       11     1
  1250   409.12    9.00       11     1
  1260   410.79    9.00       11     1
  1270   409.53    9.00       11     1
  1280   407.03    9.00       11     1
  1290   411.40    9.00       11     1
  1300   411.85    9.00       11     1
  1310   414.35    9.00       11     1
  1320   412.35    9.00       11     1
  1330   409.25    9.00       11     1
  1340   419.48    9.00       11     1
  1350   412.37    9.00       11     1
  1360   410.29    9.00       11     1
  1370   412.48    9.00       11     1
  1380   415.87    9.00       11     1
  1390   410.22    9.00       11     1
  1400   414.79    9.00       11     1
  1410   408.30    9.00       11     1
  1420   404.79    9.00       11     1
  1430   405.45    9.00       11     1
  1440   405.49    9.00       11     1
  1450   405.93    9.00       11     1
  1460   404.18    9.00       11     1
  1470   411.36    9.00       11     1
  1480   416.69    9.00       11     1
  1490   418.32    9.00       11     1
  1500   418.40    9.00       11     1
  1510   419.54    9.00       11     1
  1520   417.37    9.00       11     1
  1530   416.86    9.00       11     1
  1540   415.91    9.00       11     1
  1550   410.45    9.00       11     1
  1560   410.96    9.00       11     1
  1570   408.34    9.00       11     1
  1580   415.95    9.00       11     1
  1590   415.35    9.00       11     1
  1600   415.81    9.00       11     1
  1610   411.49    9.00       11     1
  1620   403.21    9.00       11     1
  1630   410.06    9.00       11     1
  1640   408.72    9.00       11     1
  1650   410.79    9.00       11     1
  1660   414.76    9.00       11     1
  1670   414.79    9.00       11     1
  1680   406.61    9.00       11     1
  1690   415.50    9.00       11     1
  1700   413.94    9.00       11     1
  1710   413.10    9.00       11     1
  1720   418.55    9.00       11     1
  1730   415.72    9.00       11     1
  1740   404.02    9.00       11     1
  1750   412.00    9.00       11     1
  1760   416.82    9.00       11     1
  1770   416.78    9.00       11     1
  1780   414.33    9.00       11     1
  1790   410.34    9.00       11     1
  1800   414.28    9.00       11     1
  1810   417.07    9.00       11     1
  1820   407.75    9.00       11     1
  1830   408.42    9.00       11     1
  1840   411.68    9.00       11     1
  1850   418.65    9.00       11     1
  1860   412.26    9.00       11     1
  1870   409.95    9.00       11     1
  1880   411.44    9.00       11     1
  1890   421.11    9.00       11     1
  1900   418.42    9.00       11     1
  1910   418.12    9.00       11     1
  1920   410.83    9.00       11     1
  1930   416.74    9.00       11     1
  1940   407.73    9.00       11     1
  1950   408.21    9.00       11     1
  1960   413.27    9.00       11     1
  1970   416.80    9.00       11     1
  1980   406.77    9.00       11     1
  1990   407.64    9.00       11     1
  2000   410.90    9.00       11     1
  2010   411.59    9.00       11     1
  2020   403.91    9.00       11     1
  2030   412.27    9.00       11     1
  2040   414.22    10.00       11     1
  2050   417.27    10.00       12     1
  2060   411.02    10.00       12     1
  2070   408.16    10.00       12     1
  2080   415.05    10.00       12     1
  2090   410.62    10.00       12     1
  2100   418.05    10.00       12     1
  2110   418.10    10.00       12     1
  2120   417.17    10.00       12     1
  2130   415.12    10.00       12     1
  2140   408.97    10.00       12     1
  2150   412.09    10.00       12     1
  2160   406.25    10.00       12     1
  2170   412.63    10.00       12     1
  2180   417.25    10.00       12     1
  2190   411.28    10.00       12     1
  2200   410.73    10.00       12     1
  2210   412.49    10.00       12     1
  2220   415.18    10.00       12     1
  2230   414.30    10.00       12     1
  2240   409.82    10.00       12     1
  2250   417.16    10.00       12     1
  2260   410.35    10.00       12     1
  2270   415.07    10.00       12     1
  2280   410.26    10.00       12     1
  2290   408.47    10.00       12     1
  2300   415.83    10.00       12     1
  2310   421.77    10.00       12     1
  2320   420.73    10.00       12     1
  2330   417.25    10.00       12     1
  2340   418.16    10.00       12     1
  2350   421.02    10.00       12     1
  2360   412.75    10.00       12     1
  2370   414.05    10.00       12     1
  2380   410.55    10.00       12     1
  2390   417.07    10.00       12     1
  2400   415.04    10.00       12     1
  2410   414.36    10.00       12     1
  2420   411.40    10.00       12     1
  2430   409.67    10.00       12     1
  2440   421.23    10.00       12     1
  2450   414.73    10.00       12     1
  2460   410.24    10.00       12     1
  2470   411.74    10.00       12     1
  2480   411.98    10.00       12     1
  2490   410.12    10.00       12     1
  2500   406.28    10.00       12     1
  2510   419.28    10.00       12     1
  2520   413.57    10.00       12     1
  2530   418.46    10.00       12     1
  2540   408.03    10.00       12     1
  2550   411.69    10.00       12     1
  2560   412.03    10.00       12     1
  2570   409.73    10.00       12     1
  2580   409.53    10.00       12     1
  2590   417.37    10.00       12     1
  2600   415.15    10.00       12     1
  2610   411.80    10.00       12     1
  2620   413.70    10.00       12     1
  2630   404.49    10.00       12     1
  2640   417.05    10.00       12     1
  2650   412.11    10.00       12     1
  2660   412.44    10.00       12     1
  2670   416.07    10.00       12     1
  2680   410.00    10.00       12     1
  2690   413.01    10.00       12     1
  2700   412.41    10.00       12     1
  2710   417.42    10.00       12     1
  2720   411.91    10.00       12     1
  2730   413.08    10.00       12     1
  2740   411.35    10.00       12     1
  2750   407.64    10.00       12     1
  2760   416.27    10.00       12     1
  2770   417.15    10.00       12     1
  2780   412.37    10.00       12     1
  2790   414.44    10.00       12     1
  2800   413.93    10.00       12     1
  2810   411.00    10.00       12     1
  2820   412.98    10.00       12     1
  2830   417.35    10.00       12     1
  2840   413.17    10.00       12     1
  2850   412.60    10.00       12     1
  2860   407.17    10.00       12     1
  2870   415.64    10.00       12     1
  2880   415.94    10.00       12     1
  2890   414.46    10.00       12     1
  2900   412.24    10.00       12     1
  2910   416.25    10.00       12     1
  2920   419.69    10.00       12     1
  2930   417.13    10.00       12     1
  2940   430.07    10.00       12     1
  2950   417.42    10.00       12     1
  2960   415.91    10.00       12     1
  2970   415.02    10.00       12     1
  2980   414.30    10.00       12     1
  2990   413.48    10.00       12     1
  3000   408.90    10.00       12     1
  3010   415.15    10.00       12     1
  3020   411.23    10.00       12     1
  3030   416.07    10.00       12     1
  3040   414.08    10.00       12     1
  3050   411.34    10.00       12     1
  3060   423.04    10.00       12     1
