Tamano  Tiempo(ns)  media_OB  max_OB  min_OB
  1000   1456.50    500.00       1000     1
  1010   1465.45    505.00       1010     1
  1020   1469.02    510.00       1020     1
  1030   1483.88    515.00       1030     1
  1040   1496.06    520.00       1040     1
  1050   1511.14    525.00       1050     1
  1060   1519.25    530.00       1060     1
  1070   1533.08    535.00       1070     1
  1080   1548.33    540.00       1080     1
  1090   1561.93    545.00       1090     1
  1100   1559.09    550.00       1100     1
  1110   1569.37    555.00       1110     1
  1120   1587.59    560.00       1120     1
  1130   1608.41    565.00       1130     1
  1140   1605.44    570.00       1140     1
  1150   1617.91    575.00       1150     1
  1160   1633.02    580.00       1160     1
  1170   1645.38    585.00       1170     1
  1180   1659.75    590.00       1180     1
  1190   1663.28    595.00       1190     1
  1200   1687.25    600.00       1200     1
  1210   1687.52    605.00       1210     1
  1220   1701.07    610.00       1220     1
  1230   1707.56    615.00       1230     1
  1240   1716.53    620.00       1240     1
  1250   1729.68    625.00       1250     1
  1260   1748.10    630.00       1260     1
  1270   1763.39    635.00       1270     1
  1280   1766.09    640.00       1280     1
  1290   1778.29    645.00       1290     1
  1300   1783.08    650.00       1300     1
  1310   1811.07    655.00       1310     1
  1320   1808.71    660.00       1320     1
  1330   1817.37    665.00       1330     1
  1340   1826.12    670.00       1340     1
  1350   1843.26    675.00       1350     1
  1360   1854.71    680.00       1360     1
  1370   1867.52    685.00       1370     1
  1380   1878.84    690.00       1380     1
  1390   1887.55    695.00       1390     1
  1400   1902.29    700.00       1400     1
  1410   1908.01    705.00       1410     1
  1420   1921.48    710.00       1420     1
  1430   1927.13    715.00       1430     1
  1440   1940.14    720.00       1440     1
  1450   1957.38    725.00       1450     1
  1460   1956.71    730.00       1460     1
  1470   1976.19    735.00       1470     1
  1480   1979.59    740.00       1480     1
  1490   1992.82    745.00       1490     1
  1500   2004.40    750.00       1500     1
  1510   2019.74    755.00       1510     1
  1520   2033.29    760.00       1520     1
  1530   2036.27    765.00       1530     1
  1540   2050.97    770.00       1540     1
  1550   2059.94    775.00       1550     1
  1560   2068.72    780.00       1560     1
  1570   2088.85    785.00       1570     1
  1580   2089.37    790.00       1580     1
  1590   2103.96    795.00       1590     1
  1600   2118.12    800.00       1600     1
  1610   2131.30    805.00       1610     1
  1620   2147.22    810.00       1620     1
  1630   2156.26    815.00       1630     1
  1640   2156.71    820.00       1640     1
  1650   2182.48    825.00       1650     1
  1660   2213.37    830.00       1660     1
  1670   2198.26    835.00       1670     1
  1680   2204.40    840.00       1680     1
  1690   2215.15    845.00       1690     1
  1700   2229.71    850.00       1700     1
  1710   2242.75    855.00       1710     1
  1720   2249.53    860.00       1720     1
  1730   2265.72    865.00       1730     1
  1740   2272.93    870.00       1740     1
  1750   2288.69    875.00       1750     1
  1760   2297.90    880.00       1760     1
  1770   2304.86    885.00       1770     1
  1780   2318.03    890.00       1780     1
  1790   2326.70    895.00       1790     1
  1800   2336.50    900.00       1800     1
  1810   2346.85    905.00       1810     1
  1820   2356.81    910.00       1820     1
  1830   2373.17    915.00       1830     1
  1840   2385.49    920.00       1840     1
  1850   2389.08    925.00       1850     1
  1860   2404.30    930.00       1860     1
  1870   2411.82    935.00       1870     1
  1880   2425.64    940.00       1880     1
  1890   2445.61    945.00       1890     1
  1900   2446.58    950.00       1900     1
  1910   2468.32    955.00       1910     1
  1920   2473.07    960.00       1920     1
  1930   2476.53    965.00       1930     1
  1940   2495.31    970.00       1940     1
  1950   2509.03    975.00       1950     1
  1960   2517.50    980.00       1960     1
  1970   2528.73    985.00       1970     1
  1980   2535.45    990.00       1980     1
  1990   2550.80    995.00       1990     1
  2000   2563.10    1000.00       2000     1
  2010   2571.94    1005.00       2010     1
  2020   2584.01    1010.00       2020     1
  2030   2593.74    1015.00       2030     1
  2040   2602.60    1020.00       2040     1
  2050   2615.22    1025.00       2050     1
  2060   2624.42    1030.00       2060     1
  2070   2640.48    1035.00       2070     1
  2080   2653.37    1040.00       2080     1
  2090   2654.88    1045.00       2090     1
  2100   2678.00    1050.00       2100     1
  2110   2696.59    1055.00       2110     1
  2120   2697.97    1060.00       2120     1
  2130   2704.46    1065.00       2130     1
  2140   2713.97    1070.00       2140     1
  2150   2725.02    1075.00       2150     1
  2160   2741.20    1080.00       2160     1
  2170   2748.39    1085.00       2170     1
  2180   2757.61    1090.00       2180     1
  2190   2775.39    1095.00       2190     1
  2200   2782.41    1100.00       2200     1
  2210   2791.54    1105.00       2210     1
  2220   2805.99    1110.00       2220     1
  2230   2812.51    1115.00       2230     1
  2240   2824.78    1120.00       2240     1
  2250   2842.89    1125.00       2250     1
  2260   2852.30    1130.00       2260     1
  2270   2854.85    1135.00       2270     1
  2280   2872.15    1140.00       2280     1
  2290   2878.43    1145.00       2290     1
  2300   2897.04    1150.00       2300     1
  2310   2909.05    1155.00       2310     1
  2320   2919.48    1160.00       2320     1
  2330   2928.03    1165.00       2330     1
  2340   2937.14    1170.00       2340     1
  2350   2955.02    1175.00       2350     1
  2360   2960.08    1180.00       2360     1
  2370   2975.44    1185.00       2370     1
  2380   2983.15    1190.00       2380     1
  2390   2998.37    1195.00       2390     1
  2400   3014.71    1200.00       2400     1
  2410   3019.63    1205.00       2410     1
  2420   3031.28    1210.00       2420     1
  2430   3044.49    1215.00       2430     1
  2440   3047.62    1220.00       2440     1
  2450   3065.06    1225.00       2450     1
  2460   3067.15    1230.00       2460     1
  2470   3088.83    1235.00       2470     1
  2480   3091.61    1240.00       2480     1
  2490   3107.55    1245.00       2490     1
  2500   3119.48    1250.00       2500     1
  2510   3127.33    1255.00       2510     1
  2520   3136.03    1260.00       2520     1
  2530   3148.34    1265.00       2530     1
  2540   3165.98    1270.00       2540     1
  2550   3171.22    1275.00       2550     1
  2560   3183.48    1280.00       2560     1
  2570   3192.84    1285.00       2570     1
  2580   3204.88    1290.00       2580     1
  2590   3220.50    1295.00       2590     1
  2600   3228.92    1300.00       2600     1
  2610   3236.28    1305.00       2610     1
  2620   3249.69    1310.00       2620     1
  2630   3262.09    1315.00       2630     1
  2640   3269.20    1320.00       2640     1
  2650   3283.17    1325.00       2650     1
  2660   3295.08    1330.00       2660     1
  2670   3303.67    1335.00       2670     1
  2680   3318.54    1340.00       2680     1
  2690   3324.31    1345.00       2690     1
  2700   3339.22    1350.00       2700     1
  2710   3353.99    1355.00       2710     1
  2720   3360.29    1360.00       2720     1
  2730   3373.55    1365.00       2730     1
  2740   3378.25    1370.00       2740     1
  2750   3394.15    1375.00       2750     1
  2760   3406.85    1380.00       2760     1
  2770   3417.87    1385.00       2770     1
  2780   3426.76    1390.00       2780     1
  2790   3440.25    1395.00       2790     1
  2800   3448.46    1400.00       2800     1
  2810   3458.58    1405.00       2810     1
  2820   3470.00    1410.00       2820     1
  2830   3483.78    1415.00       2830     1
  2840   3497.29    1420.00       2840     1
  2850   3507.54    1425.00       2850     1
  2860   3523.08    1430.00       2860     1
  2870   3528.29    1435.00       2870     1
  2880   3538.51    1440.00       2880     1
  2890   3552.73    1445.00       2890     1
  2900   3562.34    1450.00       2900     1
  2910   3573.37    1455.00       2910     1
  2920   3586.37    1460.00       2920     1
  2930   3596.86    1465.00       2930     1
  2940   3612.55    1470.00       2940     1
  2950   3619.32    1475.00       2950     1
  2960   3627.36    1480.00       2960     1
  2970   3638.05    1485.00       2970     1
  2980   3657.65    1490.00       2980     1
  2990   3665.42    1495.00       2990     1
  3000   3678.10    1500.00       3000     1
  3010   3690.30    1505.00       3010     1
  3020   3696.19    1510.00       3020     1
  3030   3706.11    1515.00       3030     1
  3040   3719.93    1520.00       3040     1
  3050   3733.51    1525.00       3050     1
  3060   3746.90    1530.00       3060     1
  3070   3749.22    1535.00       3070     1
  3080   3759.74    1540.00       3080     1
  3090   3772.59    1545.00       3090     1
  3100   3787.29    1550.00       3100     1
  3110   3792.19    1555.00       3110     1
  3120   3811.09    1560.00       3120     1
  3130   3817.92    1565.00       3130     1
  3140   3828.38    1570.00       3140     1
  3150   3846.44    1575.00       3150     1
  3160   3851.49    1580.00       3160     1
  3170   3861.61    1585.00       3170     1
  3180   3872.11    1590.00       3180     1
  3190   3877.99    1595.00       3190     1
  3200   3891.53    1600.00       3200     1
  3210   3907.29    1605.00       3210     1
  3220   3919.38    1610.00       3220     1
  3230   3929.88    1615.00       3230     1
  3240   3935.09    1620.00       3240     1
  3250   3947.54    1625.00       3250     1
  3260   3965.55    1630.00       3260     1
  3270   3972.29    1635.00       3270     1
  3280   3983.63    1640.00       3280     1
  3290   3996.08    1645.00       3290     1
  3300   4011.06    1650.00       3300     1
  3310   4020.48    1655.00       3310     1
  3320   4026.39    1660.00       3320     1
  3330   4032.58    1665.00       3330     1
  3340   4047.75    1670.00       3340     1
  3350   4055.58    1675.00       3350     1
  3360   4067.98    1680.00       3360     1
  3370   4077.21    1685.00       3370     1
  3380   4089.56    1690.00       3380     1
  3390   4104.22    1695.00       3390     1
  3400   4113.18    1700.00       3400     1
  3410   4137.27    1705.00       3410     1
  3420   4135.12    1710.00       3420     1
  3430   4146.01    1715.00       3430     1
  3440   4160.58    1720.00       3440     1
  3450   4173.45    1725.00       3450     1
  3460   4182.83    1730.00       3460     1
  3470   4192.71    1735.00       3470     1
  3480   4200.17    1740.00       3480     1
  3490   4218.71    1745.00       3490     1
  3500   4227.37    1750.00       3500     1
  3510   4237.55    1755.00       3510     1
  3520   4245.51    1760.00       3520     1
  3530   4260.42    1765.00       3530     1
  3540   4273.36    1770.00       3540     1
  3550   4280.45    1775.00       3550     1
  3560   4290.22    1780.00       3560     1
  3570   4301.60    1785.00       3570     1
  3580   4315.98    1790.00       3580     1
  3590   4331.98    1795.00       3590     1
  3600   4341.44    1800.00       3600     1
  3610   4349.39    1805.00       3610     1
  3620   4352.93    1810.00       3620     1
  3630   4370.33    1815.00       3630     1
  3640   4380.44    1820.00       3640     1
  3650   4395.67    1825.00       3650     1
  3660   4407.57    1830.00       3660     1
  3670   4416.51    1835.00       3670     1
  3680   4426.74    1840.00       3680     1
  3690   4435.50    1845.00       3690     1
  3700   4444.08    1850.00       3700     1
  3710   4459.95    1855.00       3710     1
  3720   4470.13    1860.00       3720     1
  3730   4483.11    1865.00       3730     1
  3740   4491.23    1870.00       3740     1
  3750   4500.13    1875.00       3750     1
  3760   4510.27    1880.00       3760     1
  3770   4523.32    1885.00       3770     1
  3780   4532.65    1890.00       3780     1
  3790   4547.55    1895.00       3790     1
  3800   4555.45    1900.00       3800     1
  3810   4568.01    1905.00       3810     1
  3820   4579.29    1910.00       3820     1
  3830   4587.44    1915.00       3830     1
  3840   4603.31    1920.00       3840     1
  3850   4617.04    1925.00       3850     1
  3860   4623.52    1930.00       3860     1
  3870   4633.39    1935.00       3870     1
  3880   4644.05    1940.00       3880     1
  3890   4654.45    1945.00       3890     1
  3900   4669.26    1950.00       3900     1
  3910   4680.28    1955.00       3910     1
  3920   4688.47    1960.00       3920     1
  3930   4708.19    1965.00       3930     1
  3940   4711.04    1970.00       3940     1
  3950   4725.97    1975.00       3950     1
  3960   4734.90    1980.00       3960     1
  3970   4747.08    1985.00       3970     1
  3980   4758.77    1990.00       3980     1
  3990   4774.46    1995.00       3990     1
  4000   4780.23    2000.00       4000     1
  4010   4786.61    2005.00       4010     1
  4020   4800.10    2010.00       4020     1
  4030   4805.66    2015.00       4030     1
  4040   4824.73    2020.00       4040     1
  4050   4838.35    2025.00       4050     1
  4060   4842.98    2030.00       4060     1
  4070   4855.58    2035.00       4070     1
  4080   4866.76    2040.00       4080     1
  4090   4880.32    2045.00       4090     1
  4100   4887.00    2050.00       4100     1
  4110   4907.47    2055.00       4110     1
  4120   4911.36    2060.00       4120     1
  4130   4924.41    2065.00       4130     1
  4140   4932.95    2070.00       4140     1
  4150   4940.55    2075.00       4150     1
  4160   4953.97    2080.00       4160     1
  4170   4966.76    2085.00       4170     1
  4180   4986.27    2090.00       4180     1
  4190   4988.31    2095.00       4190     1
  4200   5001.52    2100.00       4200     1
  4210   5014.11    2105.00       4210     1
  4220   5025.26    2110.00       4220     1
  4230   5039.24    2115.00       4230     1
  4240   5052.15    2120.00       4240     1
  4250   5056.02    2125.00       4250     1
  4260   5072.86    2130.00       4260     1
  4270   5078.81    2135.00       4270     1
  4280   5090.09    2140.00       4280     1
  4290   5101.31    2145.00       4290     1
  4300   5120.30    2150.00       4300     1
  4310   5120.05    2155.00       4310     1
  4320   5129.98    2160.00       4320     1
  4330   5141.82    2165.00       4330     1
  4340   5157.76    2170.00       4340     1
  4350   5165.24    2175.00       4350     1
  4360   5177.48    2180.00       4360     1
  4370   5185.63    2185.00       4370     1
  4380   5203.22    2190.00       4380     1
  4390   5216.51    2195.00       4390     1
  4400   5221.86    2200.00       4400     1
  4410   5235.96    2205.00       4410     1
  4420   5242.19    2210.00       4420     1
  4430   5263.72    2215.00       4430     1
  4440   5294.46    2220.00       4440     1
  4450   5273.35    2225.00       4450     1
  4460   5289.37    2230.00       4460     1
  4470   5315.32    2235.00       4470     1
  4480   5313.50    2240.00       4480     1
  4490   5323.72    2245.00       4490     1
  4500   5331.67    2250.00       4500     1
  4510   5345.32    2255.00       4510     1
  4520   5353.78    2260.00       4520     1
  4530   5370.62    2265.00       4530     1
  4540   5380.64    2270.00       4540     1
