Tamano  Tiempo(ns)  media_OB  max_OB  min_OB
  1000   1455.70    500.00       1000     1
  1010   1464.55    505.00       1010     1
  1020   1479.22    510.00       1020     1
  1030   1490.87    515.00       1030     1
  1040   1499.33    520.00       1040     1
  1050   1504.67    525.00       1050     1
  1060   1518.40    530.00       1060     1
  1070   1544.30    535.00       1070     1
  1080   1542.22    540.00       1080     1
  1090   1565.96    545.00       1090     1
  1100   1566.45    550.00       1100     1
  1110   1581.62    555.00       1110     1
  1120   1587.59    560.00       1120     1
  1130   1605.58    565.00       1130     1
  1140   1608.51    570.00       1140     1
  1150   1628.61    575.00       1150     1
  1160   1640.60    580.00       1160     1
  1170   1652.31    585.00       1170     1
  1180   1654.83    590.00       1180     1
  1190   1664.12    595.00       1190     1
  1200   1674.92    600.00       1200     1
  1210   1692.31    605.00       1210     1
  1220   1703.20    610.00       1220     1
  1230   1706.50    615.00       1230     1
  1240   1728.95    620.00       1240     1
  1250   1729.04    625.00       1250     1
  1260   1740.08    630.00       1260     1
  1270   1759.13    635.00       1270     1
  1280   1763.44    640.00       1280     1
  1290   1777.21    645.00       1290     1
  1300   1775.54    650.00       1300     1
  1310   1794.73    655.00       1310     1
  1320   1805.98    660.00       1320     1
  1330   1820.53    665.00       1330     1
  1340   1827.54    670.00       1340     1
  1350   1843.19    675.00       1350     1
  1360   1853.38    680.00       1360     1
  1370   1862.41    685.00       1370     1
  1380   1864.13    690.00       1380     1
  1390   1891.15    695.00       1390     1
  1400   1899.50    700.00       1400     1
  1410   1906.24    705.00       1410     1
  1420   1927.68    710.00       1420     1
  1430   1935.87    715.00       1430     1
  1440   1947.08    720.00       1440     1
  1450   1956.21    725.00       1450     1
  1460   1965.00    730.00       1460     1
  1470   1978.10    735.00       1470     1
  1480   1992.84    740.00       1480     1
  1490   2000.40    745.00       1490     1
  1500   2016.00    750.00       1500     1
  1510   2021.79    755.00       1510     1
  1520   2036.71    760.00       1520     1
  1530   2043.01    765.00       1530     1
  1540   2055.26    770.00       1540     1
  1550   2064.97    775.00       1550     1
  1560   2078.08    780.00       1560     1
  1570   2093.12    785.00       1570     1
  1580   2103.67    790.00       1580     1
  1590   2111.51    795.00       1590     1
  1600   2121.50    800.00       1600     1
  1610   2124.72    805.00       1610     1
  1620   2137.10    810.00       1620     1
  1630   2157.24    815.00       1630     1
  1640   2159.57    820.00       1640     1
  1650   2173.09    825.00       1650     1
  1660   2187.29    830.00       1660     1
  1670   2199.88    835.00       1670     1
  1680   2205.18    840.00       1680     1
  1690   2216.27    845.00       1690     1
  1700   2226.00    850.00       1700     1
  1710   2240.70    855.00       1710     1
  1720   2247.85    860.00       1720     1
  1730   2268.38    865.00       1730     1
  1740   2287.41    870.00       1740     1
  1750   2291.89    875.00       1750     1
  1760   2300.91    880.00       1760     1
  1770   2306.05    885.00       1770     1
  1780   2317.08    890.00       1780     1
  1790   2333.85    895.00       1790     1
  1800   2340.56    900.00       1800     1
  1810   2357.57    905.00       1810     1
  1820   2360.99    910.00       1820     1
  1830   2370.49    915.00       1830     1
  1840   2383.97    920.00       1840     1
  1850   2393.89    925.00       1850     1
  1860   2413.60    930.00       1860     1
  1870   2415.13    935.00       1870     1
  1880   2427.29    940.00       1880     1
  1890   2441.32    945.00       1890     1
  1900   2449.47    950.00       1900     1
  1910   2468.27    955.00       1910     1
  1920   2528.49    960.00       1920     1
  1930   2498.50    965.00       1930     1
  1940   2496.34    970.00       1940     1
  1950   2509.95    975.00       1950     1
  1960   2517.45    980.00       1960     1
  1970   2530.56    985.00       1970     1
  1980   2544.39    990.00       1980     1
  1990   2546.83    995.00       1990     1
  2000   2572.40    1000.00       2000     1
  2010   2572.19    1005.00       2010     1
  2020   2577.52    1010.00       2020     1
  2030   2591.03    1015.00       2030     1
  2040   2609.41    1020.00       2040     1
  2050   2617.12    1025.00       2050     1
  2060   2623.35    1030.00       2060     1
  2070   2646.81    1035.00       2070     1
  2080   2654.86    1040.00       2080     1
  2090   2671.15    1045.00       2090     1
  2100   2678.90    1050.00       2100     1
  2110   2686.16    1055.00       2110     1
  2120   2699.91    1060.00       2120     1
  2130   2705.63    1065.00       2130     1
  2140   2718.22    1070.00       2140     1
  2150   2731.86    1075.00       2150     1
  2160   2732.45    1080.00       2160     1
  2170   2743.41    1085.00       2170     1
  2180   2769.68    1090.00       2180     1
  2190   2772.01    1095.00       2190     1
  2200   2780.64    1100.00       2200     1
  2210   2789.59    1105.00       2210     1
  2220   2805.14    1110.00       2220     1
  2230   2812.56    1115.00       2230     1
  2240   2834.02    1120.00       2240     1
  2250   2841.56    1125.00       2250     1
  2260   2850.71    1130.00       2260     1
  2270   2864.76    1135.00       2270     1
  2280   2874.30    1140.00       2280     1
  2290   2887.64    1145.00       2290     1
  2300   2892.22    1150.00       2300     1
  2310   2907.53    1155.00       2310     1
  2320   2925.65    1160.00       2320     1
  2330   2923.00    1165.00       2330     1
  2340   2940.68    1170.00       2340     1
  2350   2946.64    1175.00       2350     1
  2360   2958.35    1180.00       2360     1
  2370   2968.06    1185.00       2370     1
  2380   2986.68    1190.00       2380     1
  2390   2999.50    1195.00       2390     1
  2400   3002.08    1200.00       2400     1
  2410   3014.81    1205.00       2410     1
  2420   3030.95    1210.00       2420     1
  2430   3037.57    1215.00       2430     1
  2440   3049.10    1220.00       2440     1
  2450   3066.94    1225.00       2450     1
  2460   3071.75    1230.00       2460     1
  2470   3081.50    1235.00       2470     1
  2480   3093.75    1240.00       2480     1
  2490   3105.86    1245.00       2490     1
  2500   3112.72    1250.00       2500     1
  2510   3129.40    1255.00       2510     1
  2520   3140.40    1260.00       2520     1
  2530   3157.08    1265.00       2530     1
  2540   3161.61    1270.00       2540     1
  2550   3171.29    1275.00       2550     1
  2560   3183.24    1280.00       2560     1
  2570   3192.68    1285.00       2570     1
  2580   3204.77    1290.00       2580     1
  2590   3221.58    1295.00       2590     1
  2600   3224.15    1300.00       2600     1
  2610   3239.85    1305.00       2610     1
  2620   3251.60    1310.00       2620     1
  2630   3258.44    1315.00       2630     1
  2640   3281.33    1320.00       2640     1
  2650   3283.96    1325.00       2650     1
  2660   3292.97    1330.00       2660     1
  2670   3310.26    1335.00       2670     1
  2680   3320.93    1340.00       2680     1
  2690   3322.86    1345.00       2690     1
  2700   3339.74    1350.00       2700     1
  2710   3349.11    1355.00       2710     1
  2720   3359.78    1360.00       2720     1
  2730   3369.78    1365.00       2730     1
  2740   3380.62    1370.00       2740     1
  2750   3393.45    1375.00       2750     1
  2760   3402.07    1380.00       2760     1
  2770   3416.25    1385.00       2770     1
  2780   3429.42    1390.00       2780     1
  2790   3430.54    1395.00       2790     1
  2800   3442.68    1400.00       2800     1
  2810   3457.86    1405.00       2810     1
  2820   3471.77    1410.00       2820     1
  2830   3476.78    1415.00       2830     1
  2840   3490.46    1420.00       2840     1
  2850   3508.77    1425.00       2850     1
  2860   3523.99    1430.00       2860     1
  2870   3524.77    1435.00       2870     1
  2880   3535.97    1440.00       2880     1
  2890   3549.20    1445.00       2890     1
  2900   3562.69    1450.00       2900     1
  2910   3573.16    1455.00       2910     1
  2920   3584.14    1460.00       2920     1
  2930   3595.26    1465.00       2930     1
  2940   3605.27    1470.00       2940     1
  2950   3615.39    1475.00       2950     1
  2960   3626.39    1480.00       2960     1
  2970   3636.63    1485.00       2970     1
  2980   3652.28    1490.00       2980     1
  2990   3659.70    1495.00       2990     1
  3000   3666.43    1500.00       3000     1
  3010   3682.23    1505.00       3010     1
  3020   3691.52    1510.00       3020     1
  3030   3703.37    1515.00       3030     1
  3040   3717.27    1520.00       3040     1
  3050   3726.23    1525.00       3050     1
  3060   3735.92    1530.00       3060     1
  3070   3747.30    1535.00       3070     1
  3080   3760.62    1540.00       3080     1
  3090   3775.11    1545.00       3090     1
  3100   3780.84    1550.00       3100     1
  3110   3794.18    1555.00       3110     1
  3120   3805.58    1560.00       3120     1
  3130   3816.45    1565.00       3130     1
  3140   3828.76    1570.00       3140     1
  3150   3834.32    1575.00       3150     1
  3160   3849.62    1580.00       3160     1
  3170   3857.48    1585.00       3170     1
  3180   3868.58    1590.00       3180     1
  3190   3882.45    1595.00       3190     1
  3200   3891.91    1600.00       3200     1
  3210   3899.25    1605.00       3210     1
  3220   3908.11    1610.00       3220     1
  3230   3921.55    1615.00       3230     1
  3240   3940.62    1620.00       3240     1
  3250   3945.97    1625.00       3250     1
  3260   3960.52    1630.00       3260     1
  3270   3971.10    1635.00       3270     1
  3280   3984.09    1640.00       3280     1
  3290   3987.63    1645.00       3290     1
  3300   4003.79    1650.00       3300     1
  3310   4014.17    1655.00       3310     1
  3320   4023.83    1660.00       3320     1
  3330   4039.97    1665.00       3330     1
  3340   4050.06    1670.00       3340     1
  3350   4063.22    1675.00       3350     1
  3360   4071.82    1680.00       3360     1
  3370   4079.67    1685.00       3370     1
  3380   4094.29    1690.00       3380     1
  3390   4097.23    1695.00       3390     1
  3400   4113.32    1700.00       3400     1
  3410   4127.30    1705.00       3410     1
  3420   4132.95    1710.00       3420     1
  3430   4145.28    1715.00       3430     1
  3440   4159.27    1720.00       3440     1
  3450   4169.10    1725.00       3450     1
  3460   4181.99    1730.00       3460     1
  3470   4190.84    1735.00       3470     1
  3480   4203.99    1740.00       3480     1
  3490   4213.47    1745.00       3490     1
  3500   4221.89    1750.00       3500     1
  3510   4230.63    1755.00       3510     1
  3520   4249.49    1760.00       3520     1
  3530   4262.27    1765.00       3530     1
  3540   4271.89    1770.00       3540     1
  3550   4281.32    1775.00       3550     1
  3560   4294.58    1780.00       3560     1
  3570   4308.57    1785.00       3570     1
  3580   4315.87    1790.00       3580     1
  3590   4328.38    1795.00       3590     1
  3600   4339.81    1800.00       3600     1
  3610   4353.13    1805.00       3610     1
  3620   4360.61    1810.00       3620     1
  3630   4369.04    1815.00       3630     1
  3640   4381.43    1820.00       3640     1
  3650   4395.62    1825.00       3650     1
  3660   4406.15    1830.00       3660     1
  3670   4416.43    1835.00       3670     1
  3680   4424.10    1840.00       3680     1
  3690   4437.13    1845.00       3690     1
  3700   4444.54    1850.00       3700     1
  3710   4460.19    1855.00       3710     1
  3720   4467.55    1860.00       3720     1
  3730   4482.06    1865.00       3730     1
  3740   4492.06    1870.00       3740     1
  3750   4502.05    1875.00       3750     1
  3760   4512.63    1880.00       3760     1
  3770   4526.92    1885.00       3770     1
  3780   4533.78    1890.00       3780     1
  3790   4551.58    1895.00       3790     1
  3800   4556.87    1900.00       3800     1
  3810   4567.66    1905.00       3810     1
  3820   4583.35    1910.00       3820     1
  3830   4591.85    1915.00       3830     1
  3840   4606.38    1920.00       3840     1
  3850   4619.17    1925.00       3850     1
  3860   4623.13    1930.00       3860     1
  3870   4636.25    1935.00       3870     1
  3880   4650.21    1940.00       3880     1
  3890   4659.07    1945.00       3890     1
  3900   4672.26    1950.00       3900     1
  3910   4676.52    1955.00       3910     1
  3920   4690.13    1960.00       3920     1
  3930   4698.45    1965.00       3930     1
  3940   4711.19    1970.00       3940     1
  3950   4722.81    1975.00       3950     1
  3960   4733.64    1980.00       3960     1
  3970   4744.76    1985.00       3970     1
  3980   4757.46    1990.00       3980     1
  3990   4772.56    1995.00       3990     1
  4000   4778.25    2000.00       4000     1
  4010   4795.64    2005.00       4010     1
  4020   4804.60    2010.00       4020     1
  4030   4811.07    2015.00       4030     1
  4040   4826.29    2020.00       4040     1
  4050   4837.90    2025.00       4050     1
  4060   4843.40    2030.00       4060     1
  4070   4852.75    2035.00       4070     1
  4080   4870.12    2040.00       4080     1
  4090   4874.96    2045.00       4090     1
  4100   4891.80    2050.00       4100     1
  4110   4900.41    2055.00       4110     1
  4120   4913.93    2060.00       4120     1
  4130   4926.85    2065.00       4130     1
  4140   4932.97    2070.00       4140     1
  4150   4949.83    2075.00       4150     1
  4160   4953.97    2080.00       4160     1
  4170   4974.05    2085.00       4170     1
  4180   4977.30    2090.00       4180     1
  4190   4994.32    2095.00       4190     1
  4200   5000.83    2100.00       4200     1
  4210   5015.04    2105.00       4210     1
  4220   5025.47    2110.00       4220     1
  4230   5033.62    2115.00       4230     1
  4240   5047.05    2120.00       4240     1
  4250   5056.92    2125.00       4250     1
  4260   5068.45    2130.00       4260     1
  4270   5079.30    2135.00       4270     1
  4280   5086.54    2140.00       4280     1
  4290   5096.48    2145.00       4290     1
  4300   5113.30    2150.00       4300     1
  4310   5122.34    2155.00       4310     1
  4320   5135.67    2160.00       4320     1
  4330   5150.02    2165.00       4330     1
  4340   5156.18    2170.00       4340     1
  4350   5169.31    2175.00       4350     1
  4360   5183.03    2180.00       4360     1
  4370   5186.50    2185.00       4370     1
  4380   5201.55    2190.00       4380     1
  4390   5210.39    2195.00       4390     1
  4400   5221.16    2200.00       4400     1
  4410   5235.06    2205.00       4410     1
  4420   5244.77    2210.00       4420     1
  4430   5255.01    2215.00       4430     1
  4440   5264.21    2220.00       4440     1
  4450   5275.89    2225.00       4450     1
  4460   5292.44    2230.00       4460     1
  4470   5301.50    2235.00       4470     1
  4480   5309.04    2240.00       4480     1
  4490   5323.88    2245.00       4490     1
  4500   5335.89    2250.00       4500     1
  4510   5345.88    2255.00       4510     1
  4520   5355.38    2260.00       4520     1
  4530   5362.12    2265.00       4530     1
  4540   5377.09    2270.00       4540     1
  4550   5390.48    2275.00       4550     1
  4560   5401.69    2280.00       4560     1
  4570   5412.01    2285.00       4570     1
  4580   5421.07    2290.00       4580     1
  4590   5434.40    2295.00       4590     1
  4600   5445.41    2300.00       4600     1
  4610   5456.03    2305.00       4610     1
  4620   5465.09    2310.00       4620     1
  4630   5479.48    2315.00       4630     1
  4640   5492.95    2320.00       4640     1
  4650   5498.32    2325.00       4650     1
  4660   5532.32    2330.00       4660     1
  4670   5537.97    2335.00       4670     1
  4680   5535.79    2340.00       4680     1
  4690   5558.57    2345.00       4690     1
  4700   5560.38    2350.00       4700     1
  4710   5568.39    2355.00       4710     1
  4720   5578.81    2360.00       4720     1
  4730   5584.69    2365.00       4730     1
  4740   5597.11    2370.00       4740     1
  4750   5614.46    2375.00       4750     1
  4760   5624.12    2380.00       4760     1
  4770   5637.11    2385.00       4770     1
  4780   5642.15    2390.00       4780     1
  4790   5653.72    2395.00       4790     1
  4800   5664.12    2400.00       4800     1
  4810   5675.59    2405.00       4810     1
  4820   5685.31    2410.00       4820     1
