Tamano  Tiempo(ns)  media_OB  max_OB  min_OB
  1000   515.00    8.00       10     1
  1010   512.18    8.00       10     1
  1020   504.61    9.00       10     1
  1030   503.79    9.00       11     1
  1040   504.13    9.00       11     1
  1050   505.24    9.00       11     1
  1060   504.34    9.00       11     1
  1070   512.43    9.00       11     1
  1080   509.54    9.00       11     1
  1090   509.72    9.00       11     1
  1100   503.36    9.00       11     1
  1110   503.15    9.00       11     1
  1120   502.41    9.00       11     1
  1130   507.17    9.00       11     1
  1140   511.05    9.00       11     1
  1150   504.35    9.00       11     1
  1160   503.36    9.00       11     1
  1170   507.18    9.00       11     1
  1180   513.39    9.00       11     1
  1190   514.20    9.00       11     1
  1200   506.08    9.00       11     1
  1210   513.97    9.00       11     1
  1220   501.89    9.00       11     1
  1230   499.02    9.00       11     1
  1240   508.95    9.00       11     1
  1250   515.68    9.00       11     1
  1260   515.87    9.00       11     1
  1270   507.32    9.00       11     1
  1280   510.08    9.00       11     1
  1290   505.97    9.00       11     1
  1300   518.62    9.00       11     1
  1310   513.44    9.00       11     1
  1320   513.94    9.00       11     1
  1330   511.58    9.00       11     1
  1340   521.94    9.00       11     1
  1350   637.48    9.00       11     1
  1360   514.12    9.00       11     1
  1370   504.09    9.00       11     1
  1380   506.96    9.00       11     1
  1390   523.17    9.00       11     1
  1400   514.36    9.00       11     1
  1410   514.54    9.00       11     1
  1420   511.20    9.00       11     1
  1430   513.29    9.00       11     1
  1440   514.65    9.00       11     1
  1450   521.38    9.00       11     1
  1460   520.62    9.00       11     1
  1470   508.03    9.00       11     1
  1480   512.36    9.00       11     1
  1490   520.34    9.00       11     1
  1500   531.07    9.00       11     1
  1510   540.73    9.00       11     1
  1520   515.66    9.00       11     1
  1530   535.95    9.00       11     1
  1540   584.09    9.00       11     1
  1550   518.32    9.00       11     1
  1560   518.59    9.00       11     1
  1570   526.56    9.00       11     1
  1580   543.86    9.00       11     1
  1590   546.98    9.00       11     1
  1600   532.38    9.00       11     1
  1610   599.57    9.00       11     1
  1620   534.38    9.00       11     1
  1630   522.94    9.00       11     1
  1640   518.11    9.00       11     1
  1650   517.94    9.00       11     1
  1660   542.23    9.00       11     1
  1670   528.56    9.00       11     1
  1680   523.51    9.00       11     1
  1690   579.47    9.00       11     1
  1700   524.24    9.00       11     1
  1710   534.33    9.00       11     1
  1720   622.44    9.00       11     1
  1730   537.80    9.00       11     1
  1740   511.84    9.00       11     1
  1750   523.14    9.00       11     1
  1760   511.48    9.00       11     1
  1770   517.23    9.00       11     1
  1780   523.26    9.00       11     1
  1790   539.11    9.00       11     1
  1800   639.44    9.00       11     1
  1810   511.10    9.00       11     1
  1820   509.56    9.00       11     1
  1830   511.80    9.00       11     1
  1840   507.23    9.00       11     1
  1850   510.05    9.00       11     1
  1860   510.00    9.00       11     1
  1870   513.16    9.00       11     1
  1880   510.74    9.00       11     1
  1890   506.56    9.00       11     1
  1900   512.21    9.00       11     1
  1910   523.25    9.00       11     1
  1920   512.60    9.00       11     1
  1930   522.38    9.00       11     1
  1940   519.48    9.00       11     1
  1950   522.56    9.00       11     1
  1960   510.51    9.00       11     1
  1970   517.46    9.00       11     1
  1980   516.16    9.00       11     1
  1990   524.92    9.00       11     1
  2000   510.35    9.00       11     1
  2010   509.90    9.00       11     1
  2020   520.69    9.00       11     1
  2030   507.14    9.00       11     1
  2040   512.50    10.00       11     1
  2050   508.24    10.00       12     1
  2060   523.50    10.00       12     1
  2070   513.82    10.00       12     1
  2080   510.58    10.00       12     1
  2090   513.44    10.00       12     1
  2100   512.33    10.00       12     1
  2110   511.33    10.00       12     1
  2120   518.02    10.00       12     1
  2130   517.51    10.00       12     1
  2140   511.03    10.00       12     1
  2150   541.12    10.00       12     1
  2160   566.25    10.00       12     1
  2170   573.27    10.00       12     1
  2180   528.17    10.00       12     1
  2190   522.97    10.00       12     1
  2200   518.05    10.00       12     1
  2210   525.02    10.00       12     1
  2220   549.73    10.00       12     1
  2230   534.53    10.00       12     1
  2240   520.36    10.00       12     1
  2250   521.38    10.00       12     1
  2260   518.36    10.00       12     1
  2270   518.02    10.00       12     1
  2280   528.25    10.00       12     1
  2290   530.57    10.00       12     1
  2300   545.52    10.00       12     1
  2310   542.47    10.00       12     1
  2320   534.44    10.00       12     1
  2330   533.00    10.00       12     1
  2340   529.40    10.00       12     1
  2350   577.23    10.00       12     1
  2360   539.15    10.00       12     1
  2370   539.49    10.00       12     1
  2380   536.47    10.00       12     1
  2390   538.91    10.00       12     1
  2400   534.96    10.00       12     1
  2410   525.31    10.00       12     1
  2420   528.60    10.00       12     1
  2430   647.70    10.00       12     1
  2440   537.70    10.00       12     1
  2450   662.73    10.00       12     1
  2460   554.23    10.00       12     1
  2470   530.12    10.00       12     1
  2480   543.35    10.00       12     1
  2490   546.79    10.00       12     1
  2500   542.80    10.00       12     1
  2510   529.36    10.00       12     1
  2520   539.80    10.00       12     1
  2530   563.68    10.00       12     1
  2540   538.94    10.00       12     1
  2550   532.47    10.00       12     1
  2560   570.31    10.00       12     1
  2570   560.93    10.00       12     1
  2580   620.27    10.00       12     1
  2590   520.97    10.00       12     1
  2600   539.58    10.00       12     1
  2610   617.51    10.00       12     1
  2620   515.88    10.00       12     1
  2630   528.29    10.00       12     1
  2640   531.89    10.00       12     1
  2650   537.74    10.00       12     1
  2660   558.12    10.00       12     1
  2670   517.45    10.00       12     1
  2680   521.68    10.00       12     1
  2690   516.95    10.00       12     1
  2700   519.67    10.00       12     1
  2710   517.97    10.00       12     1
  2720   521.99    10.00       12     1
  2730   525.16    10.00       12     1
  2740   516.13    10.00       12     1
  2750   584.98    10.00       12     1
  2760   544.71    10.00       12     1
  2770   522.53    10.00       12     1
  2780   526.44    10.00       12     1
  2790   515.34    10.00       12     1
  2800   519.86    10.00       12     1
  2810   517.54    10.00       12     1
  2820   514.57    10.00       12     1
  2830   523.07    10.00       12     1
  2840   525.32    10.00       12     1
  2850   517.51    10.00       12     1
  2860   520.42    10.00       12     1
  2870   523.55    10.00       12     1
  2880   526.67    10.00       12     1
  2890   516.30    10.00       12     1
  2900   525.10    10.00       12     1
  2910   520.65    10.00       12     1
  2920   531.47    10.00       12     1
  2930   523.45    10.00       12     1
  2940   535.58    10.00       12     1
  2950   536.64    10.00       12     1
  2960   519.16    10.00       12     1
  2970   523.64    10.00       12     1
  2980   524.03    10.00       12     1
  2990   530.64    10.00       12     1
  3000   518.03    10.00       12     1
  3010   520.50    10.00       12     1
  3020   523.64    10.00       12     1
  3030   522.15    10.00       12     1
  3040   515.53    10.00       12     1
  3050   520.49    10.00       12     1
  3060   539.74    10.00       12     1
  3070   527.98    10.00       12     1
  3080   535.32    10.00       12     1
  3090   528.41    10.00       12     1
  3100   537.68    10.00       12     1
  3110   537.78    10.00       12     1
  3120   527.08    10.00       12     1
  3130   519.46    10.00       12     1
  3140   529.94    10.00       12     1
  3150   535.49    10.00       12     1
  3160   540.44    10.00       12     1
  3170   577.57    10.00       12     1
  3180   529.40    10.00       12     1
  3190   534.86    10.00       12     1
  3200   523.50    10.00       12     1
  3210   519.44    10.00       12     1
  3220   524.75    10.00       12     1
  3230   520.99    10.00       12     1
  3240   525.68    10.00       12     1
  3250   528.71    10.00       12     1
  3260   521.35    10.00       12     1
  3270   515.99    10.00       12     1
  3280   518.48    10.00       12     1
  3290   516.41    10.00       12     1
  3300   521.73    10.00       12     1
  3310   519.94    10.00       12     1
  3320   518.55    10.00       12     1
  3330   514.59    10.00       12     1
  3340   515.24    10.00       12     1
  3350   515.01    10.00       12     1
  3360   519.05    10.00       12     1
  3370   525.28    10.00       12     1
  3380   518.76    10.00       12     1
  3390   521.12    10.00       12     1
  3400   517.09    10.00       12     1
  3410   523.11    10.00       12     1
  3420   516.32    10.00       12     1
  3430   520.93    10.00       12     1
  3440   517.59    10.00       12     1
  3450   519.57    10.00       12     1
  3460   515.72    10.00       12     1
  3470   528.13    10.00       12     1
  3480   524.57    10.00       12     1
  3490   523.98    10.00       12     1
  3500   520.66    10.00       12     1
  3510   522.85    10.00       12     1
  3520   523.24    10.00       12     1
  3530   524.82    10.00       12     1
  3540   546.98    10.00       12     1
  3550   520.96    10.00       12     1
  3560   526.38    10.00       12     1
  3570   520.25    10.00       12     1
  3580   525.47    10.00       12     1
  3590   523.90    10.00       12     1
  3600   525.19    10.00       12     1
  3610   524.76    10.00       12     1
  3620   523.56    10.00       12     1
  3630   522.70    10.00       12     1
  3640   528.43    10.00       12     1
  3650   529.15    10.00       12     1
