Tamano  Tiempo(ns)  media_OB  max_OB  min_OB
  100   7947.00    541.73       557     520
  110   8914.00    610.35       628     588
  120   9710.00    680.02       696     658
  130   10661.00    750.83       770     728
  140   11723.00    825.28       847     798
  150   12683.00    899.97       922     874
  160   13114.00    974.46       1001     946
  170   14189.00    1050.82       1078     1019
  180   15253.00    1126.63       1148     1101
  190   16054.00    1203.61       1226     1178
  200   17198.00    1282.24       1309     1253
  210   18443.00    1360.16       1386     1335
  220   19161.00    1439.06       1468     1411
  230   20201.00    1518.65       1546     1489
  240   21335.00    1598.44       1627     1565
  250   22264.00    1677.93       1703     1651
  260   23258.00    1759.74       1786     1733
  270   24258.00    1843.69       1871     1807
  280   25474.00    1927.73       1953     1897
  290   26027.00    2012.51       2043     1982
  300   27347.00    2097.76       2136     2064
