Tamano  Tiempo(ns)  media_OB  max_OB  min_OB
  100   7880.00    542.09       559     519
  110   9001.00    610.55       628     591
  120   9777.00    680.04       697     657
  130   10493.00    750.90       770     728
  140   11807.00    825.02       848     798
  150   12561.00    899.61       918     875
  160   13024.00    974.27       999     946
  170   14180.00    1050.86       1074     1025
  180   15345.00    1126.85       1150     1096
  190   16104.00    1203.76       1227     1173
  200   17153.00    1281.61       1308     1249
  210   18515.00    1360.36       1385     1332
  220   19227.00    1439.07       1462     1411
  230   20072.00    1518.43       1550     1490
  240   21176.00    1598.28       1622     1564
  250   22057.00    1678.26       1706     1645
  260   22992.00    1759.31       1786     1730
  270   24317.00    1844.15       1873     1807
  280   25337.00    1928.69       1956     1889
  290   26044.00    2012.73       2039     1973
  300   27323.00    2096.97       2123     2061
