Tamano  Tiempo(ns)  media_OB  max_OB  min_OB
  100   14523.00    5049.00       5049     5049
  110   17070.00    6104.00       6104     6104
  120   19566.00    7259.00       7259     7259
  130   22251.00    8514.00       8514     8514
  140   25228.00    9869.00       9869     9869
  150   28544.00    11324.00       11324     11324
  160   32636.00    12879.00       12879     12879
  170   38057.00    14534.00       14534     14534
  180   40810.00    16289.00       16289     16289
  190   45832.00    18144.00       18144     18144
  200   49641.00    20099.00       20099     20099
  210   55365.00    22154.00       22154     22154
  220   59696.00    24309.00       24309     24309
  230   64849.00    26564.00       26564     26564
  240   70356.00    28919.00       28919     28919
  250   75485.00    31374.00       31374     31374
  260   80145.00    33929.00       33929     33929
  270   86807.00    36584.00       36584     36584
  280   91615.00    39339.00       39339     39339
  290   98081.00    42194.00       42194     42194
  300   104392.00    45149.00       45149     45149
