Tamano  Tiempo(ns)  media_OB  max_OB  min_OB
  100   15625.00    5049.00       5049     5049
  110   31250.00    6104.00       6104     6104
  120   31250.00    7259.00       7259     7259
  130   46875.00    8514.00       8514     8514
  140   46875.00    9869.00       9869     9869
  150   62500.00    11324.00       11324     11324
  160   62500.00    12879.00       12879     12879
  170   62500.00    14534.00       14534     14534
  180   62500.00    16289.00       16289     16289
  190   62500.00    18144.00       18144     18144
  200   78125.00    20099.00       20099     20099
  210   93750.00    22154.00       22154     22154
  220   109375.00    24309.00       24309     24309
  230   109375.00    26564.00       26564     26564
  240   125000.00    28919.00       28919     28919
  250   140625.00    31374.00       31374     31374
  260   156250.00    33929.00       33929     33929
  270   171875.00    36584.00       36584     36584
  280   187500.00    39339.00       39339     39339
  290   187500.00    42194.00       42194     42194
  300   203125.00    45149.00       45149     45149
