Tamano  Tiempo(ns)  media_OB  max_OB  min_OB
  100   6806.00    646.49       965     539
  110   7112.00    734.73       1131     609
  120   7632.00    817.39       1104     676
  130   8407.00    909.10       1294     760
  140   9526.00    1002.24       1385     830
  150   10141.00    1087.34       1388     891
  160   10606.00    1181.62       1869     1008
  170   11320.00    1272.36       1741     1056
  180   12040.00    1367.14       1843     1161
  190   12812.00    1468.02       1932     1244
  200   13678.00    1556.79       2217     1282
  210   14620.00    1666.32       2145     1414
  220   15414.00    1762.61       2422     1449
  230   16452.00    1860.21       2424     1575
  240   17086.00    1958.27       2560     1660
  250   17816.00    2064.89       2716     1754
  260   18742.00    2172.99       3362     1833
  270   19757.00    2263.26       2907     1955
  280   20453.00    2388.74       3267     2004
  290   21245.00    2490.93       3548     2119
  300   22161.00    2581.48       3204     2196
