Tamano  Tiempo(ns)  media_OB  max_OB  min_OB
  1   520.00    1.00       1     1
  2   475.00    1.00       2     1
  3   413.33    2.00       3     1
  4   430.00    2.00       4     1
  5   428.00    3.00       5     1
  6   443.33    3.00       6     1
  7   437.14    4.00       7     1
  8   417.50    4.00       8     1
  9   457.78    5.00       9     1
  10   453.00    5.00       10     1
  11   441.82    6.00       11     1
  12   436.67    6.00       12     1
  13   480.77    7.00       13     1
  14   447.14    7.00       14     1
  15   445.33    8.00       15     1
  16   464.38    8.00       16     1
  17   444.12    9.00       17     1
  18   467.78    9.00       18     1
  19   460.53    10.00       19     1
  20   458.50    10.00       20     1
  21   450.48    11.00       21     1
  22   460.91    11.00       22     1
  23   466.52    12.00       23     1
  24   461.67    12.00       24     1
  25   488.00    13.00       25     1
  26   480.38    13.00       26     1
  27   467.78    14.00       27     1
  28   466.43    14.00       28     1
  29   469.31    15.00       29     1
  30   479.00    15.00       30     1
  31   470.00    16.00       31     1
  32   616.88    16.00       32     1
  33   604.24    17.00       33     1
  34   595.88    17.00       34     1
  35   597.14    18.00       35     1
  36   608.89    18.00       36     1
  37   603.24    19.00       37     1
  38   605.79    19.00       38     1
  39   615.38    20.00       39     1
  40   612.75    20.00       40     1
  41   495.85    21.00       41     1
  42   496.67    21.00       42     1
  43   493.95    22.00       43     1
  44   497.95    22.00       44     1
  45   496.89    23.00       45     1
  46   502.39    23.00       46     1
  47   505.11    24.00       47     1
  48   521.25    24.00       48     1
  49   513.67    25.00       49     1
  50   497.20    25.00       50     1
  51   499.41    26.00       51     1
  52   507.31    26.00       52     1
  53   517.74    27.00       53     1
  54   505.19    27.00       54     1
  55   512.00    28.00       55     1
  56   526.07    28.00       56     1
  57   513.16    29.00       57     1
  58   523.45    29.00       58     1
  59   547.29    30.00       59     1
  60   529.83    30.00       60     1
  61   542.13    31.00       61     1
  62   519.68    31.00       62     1
  63   520.79    32.00       63     1
  64   531.72    32.00       64     1
  65   529.69    33.00       65     1
  66   531.36    33.00       66     1
  67   537.01    34.00       67     1
